level,title,code,min_salary_vnd,max_salary_vnd
4.1,Senior QA Manager 2,QA1.1,81810000,102000000
4.2,Senior QA Manager 1,QA1.1,60000000,81000000
5.1,QA Manager 2,QA2.1,68175000,85000000
5.2,QA Manager 1,QA2.2,50000000,67500000
6.1,QA Lead 2,QA3.1,47722500,59500000
6.2,QA Lead 1,QA3.2,35000000,47250000
7.1,Sr QA/QC Analyst 3,QA4.1,34087500,42500000
7.2,Sr QA/QC Analyst 2,QA4.2,29668750,33750000
7.3,Sr QA/QC Analyst 1,QA4.3,25000000,29375000
8.1,QA/QC Analyst 3,QA5.1,20452500,25500000
8.2,QA/QC Analyst 2,QA5.2,17625000,20250000
8.3,QA/QC Analyst 1,QA5.3,15000000,17625000
9,Junior Test Engineer,QA6,10000000,17000000
10,Intern,QA7,5000000,9000000
